plan_id,case_label,site_group,model_id,model_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3,repeat_id,seed,history_scale
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,true_vessel_sink,"Bystander, anatomical vascular sink",0.6967058181762695,0.4441733658313751,0.9842771887779236,0.8716422915458679,104.59722900390625,62.14358901977539,111.99649810791016,2733.971435546875,1581.2138671875,0.8492159227985525,28.16,seed22_hist2p0,22,2.0
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,no_sink,"Bystander, no vascular sink",0.6502227783203125,0.5108335614204407,0.9940694570541382,0.8864069581031799,131.8089599609375,61.219459533691406,143.13162231445312,3550.1982421875,1511.15478515625,0.944753823035446,85.504,seed22_hist2p0,22,2.0
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,true_vessel_sink,"Bystander, anatomical vascular sink",0.6502236127853394,0.5098311901092529,0.994055449962616,0.8713141679763794,131.62173461914062,57.93759536743164,137.0773162841797,3548.41845703125,1448.434326171875,0.944753823035446,85.504,seed22_hist2p0,22,2.0
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,no_sink,"Bystander, no vascular sink",0.6589145660400391,0.5574991106987,0.9954816699028015,0.8911477327346802,142.1425323486328,58.735740661621094,128.16119384765625,3758.814208984375,1443.7369384765625,0.9737096706347537,185.184,seed33_hist0p5,33,0.5
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",0.6589481234550476,0.557135283946991,0.9954672455787659,0.8819284439086914,141.84036254882812,56.961692810058594,123.39501190185547,3755.741943359375,1410.111572265625,0.9737096706347537,185.184,seed33_hist0p5,33,0.5
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,no_sink,"Bystander, no vascular sink",0.6820308566093445,0.5949509143829346,0.9952511191368103,0.9084776639938354,139.38235473632812,65.47864532470703,154.32313537597656,3706.62109375,1605.15380859375,0.9797025201351001,241.336,seed33_hist0p5,33,0.5
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",0.6808478832244873,0.5946813225746155,0.9635604023933411,0.8878295421600342,86.76996612548828,54.55215835571289,140.071533203125,2491.130126953125,1393.484375,0.9797025201351001,241.336,seed33_hist0p5,33,0.5
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,no_sink,"Bystander, no vascular sink",0.7047518491744995,0.5390388369560242,0.9891180992126465,0.8999963998794556,117.22535705566406,67.58544158935547,97.84799194335938,3110.62060546875,1712.934814453125,0.9392259821081291,77.272,seed33_hist0p5,33,0.5
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",0.7049546241760254,0.5361034274101257,0.9886701703071594,0.8251098990440369,113.53478240966797,46.40428924560547,85.23030853271484,3063.789306640625,1257.2208251953125,0.9392259821081291,77.272,seed33_hist0p5,33,0.5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,no_sink,"Bystander, no vascular sink",0.6788933873176575,0.5429439544677734,0.9911857843399048,0.8949146866798401,127.40288543701172,62.76491165161133,147.24856567382812,3339.822998046875,1546.321533203125,0.9703285225977972,163.512,seed33_hist0p5,33,0.5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,true_vessel_sink,"Bystander, anatomical vascular sink",0.6773699522018433,0.5424025058746338,0.9601203799247742,0.8746963739395142,83.38807678222656,54.326507568359375,134.6855926513672,2358.92529296875,1385.83740234375,0.9703285225977972,163.512,seed33_hist0p5,33,0.5
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,no_sink,"Bystander, no vascular sink",0.7565462589263916,0.5961504578590393,0.9885820746421814,0.9256676435470581,107.98728942871094,71.32915496826172,139.4263153076172,2801.864990234375,1796.8970947265625,0.9809694902868279,257.736,seed33_hist0p5,33,0.5
