plan_id,case_label,site_group,mode,mode_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,sample_id,risk_score,rank
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,physical_only,Physical-only,3.500000047683716,1.6140858790872068,7.966978740692139,6.200121616227579,12.02076622009277,10.299411087036132,9.591219079374063,3.592278242111206,7.946613831047673,32.78679275512695,3.3732984294795028,4.713630612688714,12.84454288482666,6.286034142269991,7.966978740692139,13.970378084517579,8.65528796548178,769,24790,sample_001,3.5463851799403843,8
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_no_sink,"Bystander, no vascular sink",18.564363956451416,1.1829096026711012,21.92778038077295,18.550004838010693,27.895652465820312,26.39246620178223,25.267371607308437,20.48841247558594,23.402673263667907,41.700870513916016,14.659099563444503,16.343525220223857,24.54436073303223,19.121526811014466,21.92778038077295,28.847257435554337,24.38669647318358,769,24790,sample_001,2.551267333435425,8
case08,Bulky nodal conglomerate level II-IV with central necrosis,nodal_neck,bystander_with_sink,"Bystander, anatomical vascular sink",17.38583459854126,1.0815392580312986,21.25418905865686,18.034788396029793,27.82332649230957,26.076647338867186,24.660489511971523,18.91869773864746,23.32629840218984,41.666263580322266,14.146987826414783,16.043436636685257,24.319620895385746,18.43766428503265,21.25418905865686,25.381823317747276,23.468240407610573,769,24790,sample_001,2.9041129847676066,8
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,physical_only,Physical-only,3.5000001430511474,1.8639824157560045,7.143698386991114,6.54102773662969,11.807664413452148,9.051507835388184,12.636478632146662,3.776699423789978,4.880332584351578,23.630250930786133,0.05150733873756094,4.826998070678374,15.186213493347172,5.219489985142696,7.143698386991114,14.765553460345172,7.921508988246799,745,23265,sample_001,1.0582620183395424,6
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,bystander_no_sink,"Bystander, no vascular sink",18.56579475402832,1.2100147143520719,21.615522349844657,19.115013077947673,25.80107940673828,26.371043853759765,26.798288499466096,20.51034994125366,18.407601462798223,34.88185119628906,1.8153351445992787,15.316682218028399,25.402905197143554,16.254250236270746,21.615522349844657,28.969776988189494,23.941673307420874,745,23265,sample_001,1.4400320936185431,6
case09,Deep parotid / infratemporal fossa bulky mass,deep_parotid_infratemporal,bystander_with_sink,"Bystander, anatomical vascular sink",17.880038452148437,1.139505983175973,21.39305741389867,18.83034334237859,25.755295333862303,26.2992333984375,26.217918284252438,19.009774589538576,18.345487460263374,34.644901275634766,1.5501046665991196,15.1001058846501,25.02245704650879,15.696692025001028,21.39305741389867,26.756654462878338,23.480924942845455,745,23265,sample_001,2.7376173924760296,7
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,physical_only,Physical-only,3.5,1.645898441108816,8.18923931996917,7.3043823211845735,12.623858299255371,12.214059333801272,6.92926394216942,3.789829444885254,6.470446024147718,53.71074295043945,11.025258737621886,5.723209473051944,16.443399276733395,9.552665634896519,8.18923931996917,14.210520298235455,8.633898631474521,1039,45740,sample_001,4.925447467562638,10
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,bystander_no_sink,"Bystander, no vascular sink",18.766634941101074,1.1651637134367763,22.354862616819428,19.47768868512088,28.323781738281248,28.642440567016603,23.15182675063008,20.707872009277345,25.390981396654443,59.89859390258789,25.934897582699556,17.446740477008284,27.00729461669922,22.255215689127763,22.354862616819428,29.074318771068583,24.952990241440613,1039,45740,sample_001,4.254842781722102,9
case10,Composite oropharynx + upper-neck very bulky tumour,composite_oropharynx_upper_neck,bystander_with_sink,"Bystander, anatomical vascular sink",17.183191776275635,1.0995038331908482,21.97066574204354,19.288716692673844,28.267267303466795,28.54791343688965,22.55043255006424,18.054636764526368,25.30124373185007,59.88999557495117,25.36456472223455,17.43423709284909,26.855203247070314,22.02471867166245,21.97066574204354,26.522975830761027,24.122677002215834,1039,45740,sample_001,4.938264943527094,10
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,physical_only,Physical-only,3.5000001788139343,1.7942250613848219,7.1248379276762455,5.551478219009564,1.6935659074783322,4.724041156768799,4.527316856745518,3.8970908999443052,7.804038130831054,24.55937385559082,0.11252559060324924,3.373278569051124,13.93813694000244,2.988130424310533,7.1248379276762455,13.828252007525254,7.707088873707019,514,10306,sample_002,-5.0382579386400215,2
