sample_id,plan_id,metric,label,physical_value,no_sink_value,with_sink_value,delta
sample_002,case09,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.54102773662969,19.130355894485092,18.86215685199881,-0.26819904248628035
sample_002,case09,cord_d2,Cord D2,11.807664413452148,27.543534088134763,27.417911453247065,-0.12562263488769787
sample_002,case09,brainstem_d2,Brainstem D2,9.051507835388184,31.335936126708987,30.1061026763916,-1.2298334503173862
sample_002,case09,parotid_r_mean,Parotid R mean,12.636478632146662,28.260573073107786,27.181103631221887,-1.079469441885898
sample_002,case10,ptv_d95,PTV D95,3.5,18.616403579711914,17.177727699279785,-1.438675880432129
sample_002,case10,pvdr,PVDR,1.645898441108816,1.2733570277159767,1.179675817702919,-0.09368121001305774
sample_002,case10,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,8.18923931996917,22.383668803290306,21.96726341744372,-0.41640538584658415
sample_002,case10,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,7.3043823211845735,19.51949020826636,19.32726850206965,-0.19222170619671175
sample_002,case10,cord_d2,Cord D2,12.623858299255371,34.935348968505856,34.77072341918945,-0.16462554931640483
sample_002,case10,brainstem_d2,Brainstem D2,12.214059333801272,32.770501403808595,32.13965789794922,-0.6308435058593744
sample_002,case10,parotid_r_mean,Parotid R mean,6.92926394216942,24.594264144126814,23.39347350187976,-1.2007906422470533
sample_003,case01,ptv_d95,PTV D95,3.5000001788139343,19.32324504852295,18.7348313331604,-0.5884137153625488
sample_003,case01,pvdr,PVDR,1.7942250613848219,1.6882258440447908,1.7051033681564438,0.016877524111652997
sample_003,case01,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.1248379276762455,22.641518635066426,22.23607276632014,-0.4054458687462841
sample_003,case01,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,5.551478219009564,18.21792007074668,17.85397875743537,-0.3639413133113081
sample_003,case01,cord_d2,Cord D2,1.6935659074783322,12.363836021423339,12.219458847045898,-0.1443771743774409
sample_003,case01,brainstem_d2,Brainstem D2,4.724041156768799,20.064526290893554,19.795076293945314,-0.26944999694823935
sample_003,case01,parotid_r_mean,Parotid R mean,4.527316856745518,16.000112637606534,15.46239160961575,-0.5377210279907843
sample_003,case02,ptv_d95,PTV D95,3.5,19.2951229095459,18.17714195251465,-1.11798095703125
sample_003,case02,pvdr,PVDR,1.7966069888665888,1.7032753328984604,1.7285984298009807,0.025323096902520215
sample_003,case02,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.571629834635082,23.40049971969948,22.985031088188148,-0.41546863151133095
sample_003,case02,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.350267394972314,19.30046411360862,18.968087892887336,-0.33237622072128303
sample_003,case02,cord_d2,Cord D2,4.304217872619628,17.698762969970698,17.597583541870108,-0.10117942810058977
sample_003,case02,brainstem_d2,Brainstem D2,7.62433998107911,27.190118865966802,26.962327423095704,-0.22779144287109787
sample_003,case02,parotid_r_mean,Parotid R mean,0.21397229129015796,3.6945686032073666,3.4762270164008093,-0.21834158680655724
sample_003,case03,ptv_d95,PTV D95,3.5000001192092896,19.763854503631592,17.399056434631348,-2.364798069000244
sample_003,case03,pvdr,PVDR,1.6557359939167076,1.6023256414352989,1.390582580622609,-0.2117430608126898
sample_003,case03,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,7.893605106264787,23.89962594644746,22.795458650287607,-1.1041672961598543
sample_003,case03,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,6.3122657820646655,19.190999683524076,18.671591372579897,-0.5194083109441792
sample_003,case03,cord_d2,Cord D2,18.599873275756835,48.63101699829102,48.37027725219727,-0.2607397460937477
