plan_id,case_label,endpoint,label,units,n_repeats,mean_with_sink_minus_no_sink,std_repeat_delta,min_delta,max_delta,p2_5_delta,p97_5_delta,mean_delta_ci_lower,mean_delta_ci_upper,bio_sigma_for_delta,combined_sigma,combined_95pct_noise_band,abs_mean_over_combined_sigma,exceeds_1sigma_noise_band,exceeds_95pct_noise_band,mean_delta_ci_excludes_zero,cohens_dz
case05,Parapharyngeal / prestyloid deep-space bulky mass,parotid_r_mean,Parotid R mean,Gy,9,-0.7745223072107668,0.0017091665476107552,-0.7780086421003247,-0.7720322271790181,-0.7774530730584658,-0.772118136473378,-0.7756437636652651,-0.7734300295565407,0.07278300043907508,0.07280306589149851,0.1426940091473371,10.638594648816989,True,True,True,-427.241356417896
case06,Buccal mucosa / cheek infiltrative crescent,ptv_d95,PTV D95,Gy,9,-1.1931813028123643,0.060306951032001906,-1.291843605041505,-1.1225058555603038,-1.2917251396179208,-1.1238181114196788,-1.2338537987073266,-1.1538905986150105,0.5595337811511053,0.5627743602830795,1.1030377461548357,2.1201770852037143,True,True,True,-18.653606280662608
case06,Buccal mucosa / cheek infiltrative crescent,pvdr,PVDR,ratio,9,0.027281460973255654,0.00018716381204294117,0.026953208416858665,0.02757749836571688,0.026975355021342427,0.02755695166377259,0.027160166814018127,0.0273980905159075,0.00316735604240918,0.003172881118466998,0.0062188469921953165,8.598324347694723,True,True,True,137.42618186924076
case06,Buccal mucosa / cheek infiltrative crescent,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.5183487120029686,0.0024310256519215877,-0.5217732704089038,-0.5146696085321025,-0.521756626554469,-0.5147977243904286,-0.5199490507031765,-0.5166635672579026,0.05447333174673355,0.054527550442964055,0.10687399886820954,9.506180046454912,True,True,True,-201.02784681951965
case06,Buccal mucosa / cheek infiltrative crescent,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.4148047134355275,0.0023988937809600853,-0.41882560970340244,-0.41154111080835065,-0.41860716830377703,-0.41158293335594676,-0.4163942241309932,-0.4132819959130742,0.031243400836048374,0.03133536001347866,0.06141730562641818,13.237592076717883,True,True,True,-163.02582357829675
case06,Buccal mucosa / cheek infiltrative crescent,cord_d2,Cord D2,Gy,9,-0.08522094726562537,0.012627774292764245,-0.10083686828613381,-0.05802711486816392,-0.0991504516601573,-0.0606783065795895,-0.09284040006001858,-0.07679402044084338,0.0,0.012627774292764245,0.02475043761381792,6.748691043239287,True,True,True,-6.362726934409887
case06,Buccal mucosa / cheek infiltrative crescent,brainstem_d2,Brainstem D2,Gy,9,-0.09811562856038394,0.011364878406414002,-0.12356731414794986,-0.08303520202636605,-0.11950321197509836,-0.08363976287841694,-0.10592054229312507,-0.09115123939514072,0.0004912503740486591,0.011375490676123742,0.022295961725202533,8.625177704757906,True,True,True,-8.139488907776665
case06,Buccal mucosa / cheek infiltrative crescent,parotid_r_mean,Parotid R mean,Gy,9,-0.5477455344665737,0.0035200603763236703,-0.5530308463356732,-0.5429889409228998,-0.5530242122303377,-0.5431719808867477,-0.5501787949785785,-0.5454913178303692,0.07278300043907508,0.07286807241836006,0.1428214219399857,7.516948318898608,True,True,True,-146.70755247687845
case07,Oral tongue / floor-of-mouth horseshoe,ptv_d95,PTV D95,Gy,9,-1.7088101598951548,0.017590868334225372,-1.7394512176513661,-1.6731801986694332,-1.7355847740173331,-1.6771205329895014,-1.720135889053345,-1.6976170065667893,0.5595337811511053,0.5598102275753857,1.097228046047756,3.0524811368599756,True,True,True,-91.58625023426899
case07,Oral tongue / floor-of-mouth horseshoe,pvdr,PVDR,ratio,9,0.03318417189044265,0.000122747519405031,0.033043597544733405,0.03335380801232568,0.033043766220136606,0.03334946175270788,0.03310702690535756,0.03326673529961182,0.00316735604240918,0.003169733624913304,0.006212677904830075,10.469072741514763,True,True,True,254.8836623939168
case07,Oral tongue / floor-of-mouth horseshoe,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.6742653122751664,0.001852216731774028,-0.6772763844111118,-0.6711756356731833,-0.677107707396344,-0.6713324525863449,-0.6754158958867653,-0.673003615810307,0.05447333174673355,0.054504812433501255,0.10682943236966246,12.370748236182,True,True,True,-343.21222885688553
case07,Oral tongue / floor-of-mouth horseshoe,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.6985553192251932,0.002200046112687056,-0.7029786930034607,-0.6962321504848301,-0.7026069057447465,-0.6962988868740009,-0.7000834962001715,-0.6972317011750616,0.031243400836048374,0.03132076465701209,0.0613886987277437,22.30326516210391,True,True,True,-299.3593030676805
case07,Oral tongue / floor-of-mouth horseshoe,cord_d2,Cord D2,Gy,9,-0.1071127912733295,0.00923903742653914,-0.12265136718749758,-0.09249061584472784,-0.12183070373534974,-0.09336672973632928,-0.11315585242377481,-0.10127093399895662,0.0,0.00923903742653914,0.018108513356016712,11.593501176393977,True,True,True,-10.93045773269653
case07,Oral tongue / floor-of-mouth horseshoe,brainstem_d2,Brainstem D2,Gy,9,-0.09282190110948305,0.009946247578958295,-0.10723640441894133,-0.0733930206298794,-0.10572648620605207,-0.07485490417480208,-0.09924390157063678,-0.08594675784640728,0.0004912503740486591,0.009958371746020364,0.019518408622199914,9.320991772231961,True,True,True,-8.798627515365181
case07,Oral tongue / floor-of-mouth horseshoe,parotid_r_mean,Parotid R mean,Gy,9,-0.458792809230578,0.003917777250191711,-0.46665505110615335,-0.4541129651695801,-0.46590322667902095,-0.454175331423982,-0.46146744819602603,-0.45638947258092,0.07278300043907508,0.072888367600712,0.14286120049739554,6.2944585581046315,True,True,True,-110.40801483398712
case08,Bulky nodal conglomerate level II-IV with central necrosis,ptv_d95,PTV D95,Gy,9,-1.0262624740600585,0.02258171173482059,-1.061518669128418,-0.9920053482055664,-1.0602670001983643,-0.9942657947540283,-1.0404795365863377,-1.0121459364891052,0.5595337811511053,0.5599892730705898,1.097578975218356,1.8326466655919182,True,False,True,-42.84748432459291
case08,Bulky nodal conglomerate level II-IV with central necrosis,pvdr,PVDR,ratio,9,-0.1149906204190815,0.001161273581182954,-0.1171742775990221,-0.113283023282301,-0.11694959772478915,-0.11339510745747883,-0.11579315490293535,-0.11426541767209097,0.00316735604240918,0.003373529402530742,0.006612117628960254,34.08614738404777,True,True,True,-93.35801518691473
case08,Bulky nodal conglomerate level II-IV with central necrosis,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.6348448009531167,0.0015989263689533495,-0.6380082979320782,-0.6325464826225868,-0.6375656891243381,-0.6326919683153314,-0.635968173719165,-0.6338476806549423,0.05447333174673355,0.05449679290676676,0.10681371409726285,11.649213964557706,True,True,True,-374.33707390276123
case08,Bulky nodal conglomerate level II-IV with central necrosis,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.47123804483919307,0.0017738644835908718,-0.47367917840911566,-0.46802349500466534,-0.4735175189616971,-0.46820029049738243,-0.47236371617299683,-0.47001424857822566,0.031243400836048374,0.031293716478042896,0.06133568429696407,15.058551615939745,True,True,True,-250.46303904369535
case08,Bulky nodal conglomerate level II-IV with central necrosis,cord_d2,Cord D2,Gy,9,-0.16975020514594164,0.016329217812192796,-0.20371002197265398,-0.1537677764892571,-0.20020965576171718,-0.15404817199706997,-0.18054832182990171,-0.15988503307766444,0.0,0.016329217812192796,0.03200526691189788,10.395489061282014,True,True,True,-9.80096107864412
case08,Bulky nodal conglomerate level II-IV with central necrosis,brainstem_d2,Brainstem D2,Gy,9,-0.5581827206081805,0.028688906913113436,-0.6090131378173851,-0.5259479522705099,-0.6045817565917986,-0.5260518188476574,-0.576884607738917,-0.5398754734463149,0.0004912503740486591,0.028693112532440442,0.05623850056358327,19.45354377211949,True,True,True,-18.343665634877112
case08,Bulky nodal conglomerate level II-IV with central necrosis,parotid_r_mean,Parotid R mean,Gy,9,-0.7820626893562626,0.002585818190763523,-0.7864270393294497,-0.777787738376194,-0.7860174676143743,-0.7781377950340811,-0.7837158184340491,-0.7804280907323728,0.07278300043907508,0.0728289201391184,0.14274468347267208,10.738353498340494,True,True,True,-285.14602350730365
case09,Deep parotid / infratemporal fossa bulky mass,ptv_d95,PTV D95,Gy,9,-0.21645736694335996,0.017602089791004933,-0.24277038574218857,-0.1895250320434574,-0.2423925399780284,-0.19160243988037173,-0.22817336188422388,-0.20530479643080016,0.5595337811511053,0.5598105802986074,1.0972287373852705,0.3866618005467133,False,False,True,-11.593962142809579
case09,Deep parotid / infratemporal fossa bulky mass,pvdr,PVDR,ratio,9,-0.07823343707960692,0.0005441330071826986,-0.0790733340376093,-0.0773411837053044,-0.0790713103374097,-0.07741964632686468,-0.07859444626124722,-0.07789942521013732,0.00316735604240918,0.0032137555956997773,0.006298960967571563,24.343306374725124,True,True,True,-135.5536070391874
case09,Deep parotid / infratemporal fossa bulky mass,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.2294276271393293,0.000646719488411903,-0.2301824920327391,-0.22829600309782094,-0.2301680551039901,-0.22832466159760118,-0.2298349951873919,-0.2290106146751015,0.05447333174673355,0.054477170610140735,0.10677525439587583,4.211445355361795,True,True,True,-334.4671764675661
case09,Deep parotid / infratemporal fossa bulky mass,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.27089393884905,0.0012598967465531213,-0.2723166374013264,-0.2687645476080647,-0.2723154701741251,-0.26877906040570243,-0.2716403679618854,-0.2700352076164324,0.031243400836048374,0.031268793318802106,0.06128683490485213,8.66339599635781,True,True,True,-202.71602062264262
case09,Deep parotid / infratemporal fossa bulky mass,cord_d2,Cord D2,Gy,9,-0.1186624060736767,0.012804209370538652,-0.13812904357910227,-0.09907073974609659,-0.13773959350586013,-0.09977227783203305,-0.12688473044501458,-0.11046489440070291,0.0,0.012804209370538652,0.02509625036625576,9.267452807098605,True,True,True,-8.73743829896764
case09,Deep parotid / infratemporal fossa bulky mass,brainstem_d2,Brainstem D2,Gy,9,-0.7855007680257167,0.049875375238626556,-0.8476419067382821,-0.6799052429199222,-0.8466399841308601,-0.6898749847412112,-0.8148171183268236,-0.7517703047858345,0.0004912503740486591,0.049877794479345275,0.09776047717951673,15.748506449117308,True,True,True,-14.848554476453387
case09,Deep parotid / infratemporal fossa bulky mass,parotid_r_mean,Parotid R mean,Gy,9,-0.7015972980880297,0.003492693102042158,-0.7065648204148403,-0.6964666308778682,-0.7064366758712601,-0.6967536533240093,-0.7039441822835483,-0.6993875600191868,0.07278300043907508,0.07286675550633126,0.14281884079240928,9.628496468833022,True,True,True,-189.38746029537535
case10,Composite oropharynx + upper-neck very bulky tumour,ptv_d95,PTV D95,Gy,9,-0.7792160511016846,0.031281515723145546,-0.8214354515075684,-0.7302639484405518,-0.8209720611572265,-0.7321980476379395,-0.8001124435000949,-0.7592469400829739,0.5595337811511053,0.5604075173257318,1.0983987339584342,1.390445393773639,True,False,True,-23.485177151469102
case10,Composite oropharynx + upper-neck very bulky tumour,pvdr,PVDR,ratio,9,-0.06693377937587369,0.0007506773063264814,-0.06769755396118682,-0.06557613444515242,-0.06766659846977326,-0.06559597868915379,-0.06738700068474919,-0.06636985307041997,0.00316735604240918,0.0032550976510113375,0.006379991395982222,20.56275619107089,True,True,True,-84.06511273352262
case10,Composite oropharynx + upper-neck very bulky tumour,spill_shell_0_5_mean,Peri-GTV 0-5 mm mean,Gy,9,-0.3952978105777917,0.0006469801659764654,-0.3959410307465703,-0.39397171529033415,-0.39593881592132407,-0.39411393672130474,-0.39570177715646104,-0.39484998871168075,0.05447333174673355,0.05447717370536816,0.1067752604625216,7.2562099626478815,True,True,True,-576.0460204647028
case10,Composite oropharynx + upper-neck very bulky tumour,spill_shell_5_15_mean,Peri-GTV 5-15 mm mean,Gy,9,-0.19747603774796513,0.0002911177863834688,-0.1978274030895868,-0.19707282986441044,-0.19782033513090588,-0.19707970288619733,-0.19766311309365628,-0.19729207403131566,0.031243400836048374,0.03124475708607025,0.06123972388869769,6.320293584103594,True,True,True,-639.5424896482889
case10,Composite oropharynx + upper-neck very bulky tumour,cord_d2,Cord D2,Gy,9,-0.11152519226074237,0.01630411360604446,-0.13557373046875298,-0.0864922332763669,-0.13489749145508015,-0.08773579406738322,-0.12202327325609028,-0.10072850714789496,0.0,0.01630411360604446,0.03195606266784714,6.8403100564385415,True,True,True,-6.449106168434971
case10,Composite oropharynx + upper-neck very bulky tumour,brainstem_d2,Brainstem D2,Gy,9,-0.3261719258626303,0.02247016993289263,-0.35898674011230725,-0.29042709350586193,-0.3577590484619158,-0.29173683166504105,-0.3409462091657853,-0.31153350681728886,0.0004912503740486591,0.022475539231419452,0.044052056893582124,14.512307024280936,True,True,True,-13.685603701793408
case10,Composite oropharynx + upper-neck very bulky tumour,parotid_r_mean,Parotid R mean,Gy,9,-0.7697436843255545,0.0028319969707216574,-0.774809818075159,-0.7648880621399528,-0.7745718626542513,-0.7653211135093599,-0.7716504603256406,-0.7678970781962071,0.07278300043907508,0.07283807630461268,0.14276262955704086,10.567874982123989,True,True,True,-256.25779716067
