plan_id,case_label,site_group,model_id,model_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,risk_score,rank,repeat_id,seed,history_scale,model_risk_score,model_rank_within_case
case02,Left maxillary sinus crescent abutting orbit,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",16.68043327331543,1.4369781628802942,19.759528121212288,16.514402228684997,15.843505630493164,23.117351150512697,5.101123098893599,19.441987991333008,17.336172345991105,41.36663055419922,15.497543508356268,12.076790824901034,23.91017036437988,12.23971450665241,19.759528121212288,32.32665929158529,22.49627734550217,525,18031,,,seed11_hist1p0,11,1.0,1.9372207664023555,6
case02,Left maxillary sinus crescent abutting orbit,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",15.949912977218627,1.6874888126592165,19.659176247894187,16.466026182492946,15.827424163818359,23.181496963500983,5.397865686753784,19.306993865966795,18.45351113180627,43.32047653198242,15.806367696896949,12.002914748505981,24.615643310546865,12.606909259149441,19.659176247894187,38.21437848045712,22.645707748567105,525,18031,,,seed11_hist1p0,11,1.0,1.7004826408637599,5
case02,Left maxillary sinus crescent abutting orbit,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",16.96176233291626,1.6584801220391605,20.11463217057599,16.82250668314233,15.784497261047363,23.411775588989258,5.2527619925412266,19.885669708251953,18.393655213040095,43.333858489990234,15.806024347170435,12.150219156264082,24.624637222290037,12.514063749323759,20.11463217057599,38.23289144606817,23.052969365143472,525,18031,,,seed11_hist1p0,11,1.0,1.3140185338488635,4
case02,Left maxillary sinus crescent abutting orbit,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",16.945382595062256,1.6589233321220034,20.103486761970153,16.76880170493371,15.313364448547357,23.404369125366213,5.456405920452542,19.882414627075196,18.446245812041102,43.333839416503906,15.58401209995,12.174941686757448,24.631235122680646,12.521870633454474,20.103486761970153,38.23280203683036,23.04675646940541,525,18031,,,seed11_hist1p0,11,1.0,0.977514398728656,2
case02,Left maxillary sinus crescent abutting orbit,,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",15.66850175857544,1.6585199204844918,18.621529521144854,15.68974321971591,14.845830917358397,21.328060607910157,4.941937924153877,18.319845962524415,17.284695860033064,40.31572723388672,14.94347239792949,11.436778545673757,23.481738281249985,11.973037723061802,18.621529521144854,35.25635526384626,21.257721917230313,525,18031,,,seed11_hist1p0,11,1.0,-9.584934226054672,1
case03,Base-of-tongue / oropharynx bilobed central mass,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",14.321474075317383,1.636830132073348,19.439493869745853,16.695966268935294,40.39542327880859,38.18160507202148,16.10675465169579,16.261091327667238,18.284258659410035,42.813087463378906,19.263628123504947,13.533412627356123,23.931766777038575,17.93872786409008,19.439493869745853,37.63890497320688,22.994997608902914,793,18035,,,seed11_hist1p0,11,1.0,0.4895618231896835,3
case03,Base-of-tongue / oropharynx bilobed central mass,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",16.266704559326172,1.3269200640024292,20.111957941451024,16.951383742643497,40.26855316162109,37.88833114624024,16.238960127397018,18.483918571472167,19.337403282661555,40.765201568603516,19.38295624087555,13.552785464781412,23.437092590332032,18.655853716525108,20.111957941451024,31.453062264345032,23.703810890817497,793,18035,,,seed11_hist1p0,11,1.0,3.4435749928095047,7
case03,Base-of-tongue / oropharynx bilobed central mass,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",17.374269008636475,1.559163254093125,20.561260577052725,17.232471664870847,40.39785751342773,38.19147644042969,16.541700103066184,20.195879650115966,19.298873616445913,42.983402252197266,19.650540193885263,13.571043346707256,23.91710880279541,18.592048424082435,20.561260577052725,37.986614862276056,24.363462108636384,793,18035,,,seed11_hist1p0,11,1.0,2.6562396409005635,5
case03,Base-of-tongue / oropharynx bilobed central mass,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",16.448649883270264,1.4229567306138449,19.96394169930083,16.85706660332384,33.47339553833008,34.52244613647461,16.53337829088924,18.408974170684814,19.3253419583796,42.898983001708984,19.257155632250235,13.576171915180852,23.540867729187013,18.235256963423687,19.96394169930083,33.2963594795025,23.399418101166635,793,18035,,,seed11_hist1p0,11,1.0,-2.6052639467977117,2
case03,Base-of-tongue / oropharynx bilobed central mass,,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",15.927875518798828,1.5611499978599008,18.992056685183265,16.07334823279368,37.16152450561523,35.119678344726566,15.237768566247189,18.503166103363036,18.112045639439632,39.90117645263672,18.371501065263846,12.806639570269807,22.726216163635257,17.58162603570472,18.992056685183265,35.03766802370473,22.44349874883006,793,18035,,,seed11_hist1p0,11,1.0,-8.011135696382945,1
case04,Laryngo-hypopharyngeal elongated cylinder,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",16.712184333801268,1.514102404682982,19.46219661116883,13.196482214257248,31.518250885009767,20.113571548461913,12.615537991186585,21.187696075439455,19.754179000854492,39.56287384033203,12.016425985278506,7.935144739645821,20.498347625732418,13.869657181027453,19.452076283184542,35.3881946131587,23.372391790480098,256,13699,,,seed11_hist1p0,11,1.0,0.5171195573026359,3
case04,Laryngo-hypopharyngeal elongated cylinder,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",16.449266052246095,1.5395652080955364,19.309761155104695,13.837795485220786,31.515716552734375,19.90152046203613,12.685471850693828,20.101554107666015,20.696314454447744,39.56816101074219,12.05699352351102,8.130241642185181,20.34527633666992,14.192199078921472,19.299378628147398,35.40753573924303,22.998399517642156,256,13699,,,seed11_hist1p0,11,1.0,1.7254126286134865,4
case04,Laryngo-hypopharyngeal elongated cylinder,,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",17.155239868164063,1.5042033569412334,19.726924225723376,14.066850313554358,31.519503707885743,20.111849822998046,12.82733097847062,21.305648612976075,20.696327984517573,39.568172454833984,12.208782173407199,8.23660781763116,20.685935058593746,14.472696499141879,19.717099812545765,35.40755386650562,23.539073824769382,256,13699,,,seed11_hist1p0,11,1.0,3.4649622654979986,6
case04,Laryngo-hypopharyngeal elongated cylinder,,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",13.80164680480957,1.235552813480299,18.50016778176584,13.435296169480596,30.941480331420898,19.564393997192383,12.815432691092443,13.878435039520264,17.489169830877344,35.97442626953125,9.94205718907443,8.269225089806596,19.80742332458496,13.955673556627787,18.49921661240572,27.2059940174222,22.019288629830793,256,13699,,,seed11_hist1p0,11,1.0,2.5050793678307985,5
case04,Laryngo-hypopharyngeal elongated cylinder,,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",15.791186332702637,1.5239144398153328,18.102328394767508,13.013364132235296,28.701629486083984,18.458045196533202,11.897031559606996,19.562800788879393,18.964605594198034,36.84023666381836,11.270335508115364,7.754082634966172,19.029190368652344,13.430921630692817,18.092969528363827,32.84387616813183,21.5523098344759,256,13699,,,seed11_hist1p0,11,1.0,-9.08058397263056,1
case05,Parapharyngeal / prestyloid deep-space bulky mass,,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",16.027529144287108,1.5749053674843303,19.68412732909842,16.616202995589006,38.48297454833984,37.78887191772461,22.68136618643096,17.596915245056152,18.457721521241748,40.90879440307617,11.642181676806825,13.193734263746887,23.933786239624027,17.28612115726673,19.68412732909842,35.80306199653862,22.733468775796045,776,18122,,,seed11_hist1p0,11,1.0,0.5065306057578052,3
case05,Parapharyngeal / prestyloid deep-space bulky mass,,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",16.72777328491211,1.3637928863694095,19.92389248328546,16.813787617250853,38.29326858520508,37.58164535522461,23.00068499247233,18.5220308303833,19.522833703103082,39.82234573364258,11.794957375767256,13.221544834375976,23.44782081604004,17.93297427009191,19.92389248328546,31.621696501663052,23.18658266787418,776,18122,,,seed11_hist1p0,11,1.0,2.859600575396334,7
