plan_id,case_label,site_group,model_id,model_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",0.6637304425239563,0.49951645731925964,0.9892027378082275,0.8500842452049255,118.54435729980469,53.094322204589844,130.39801025390625,3179.257568359375,1345.796142578125,0.9456474476041395,86.992
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",0.6620610952377319,0.500933825969696,0.9569478631019592,0.8639269471168518,87.47148895263672,55.05852127075195,128.74415588378906,2445.874267578125,1393.37646484375,0.9456474476041395,86.992
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",0.6639603972434998,0.5012370944023132,0.99042809009552,0.8790138959884644,126.45721435546875,61.11167907714844,137.22830200195312,3318.48095703125,1506.5224609375,0.9456474476041395,86.992
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",0.6636915802955627,0.49947765469551086,0.9894803166389465,0.8565788269042969,120.4472885131836,54.300262451171875,132.30868530273438,3215.378173828125,1374.162353515625,0.9456474476041395,86.992
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",0.6637487411499023,0.5006272792816162,0.9833192825317383,0.8452850580215454,95.71928405761719,45.379886627197266,114.95526885986328,2752.1494140625,1232.70361328125,0.9456474476041395,86.992
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",0.6633121371269226,0.5006104707717896,0.9577243328094482,0.8187284469604492,53.98476791381836,35.598289489746094,107.5895767211914,1800.154052734375,1023.8175048828125,0.9456474476041395,86.992
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",0.664020836353302,0.5011977553367615,0.9903823733329773,0.865610659122467,126.1263656616211,56.91270446777344,123.35993957519531,3315.451904296875,1440.9208984375,0.9456474476041395,86.992
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",0.6640538573265076,0.5004830956459045,0.9902265667915344,0.8404053449630737,125.07447814941406,50.3025016784668,119.51921844482422,3303.515625,1316.4627685546875,0.9456474476041395,86.992
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",0.6990697383880615,0.52992844581604,0.9851253032684326,0.8885378837585449,105.80982971191406,60.54073715209961,124.69795989990234,2757.027587890625,1577.013916015625,0.9552035550458715,106.616
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",0.699040412902832,0.5306587815284729,0.9851462841033936,0.9048728942871094,106.02702331542969,68.4716796875,128.76779174804688,2758.8408203125,1736.394287109375,0.9552035550458715,106.616
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",0.6991081237792969,0.5312244892120361,0.9851462841033936,0.9105003476142883,106.02715301513672,70.23573303222656,130.89146423339844,2758.84130859375,1771.126708984375,0.9552035550458715,106.616
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",0.6991609334945679,0.5303724408149719,0.9851459264755249,0.8902347087860107,106.02055358886719,64.14305114746094,125.27791595458984,2758.801513671875,1646.307373046875,0.9552035550458715,106.616
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",0.699015200138092,0.531012773513794,0.9762104749679565,0.8827782273292542,80.62553405761719,52.60606002807617,109.9443588256836,2292.132080078125,1457.5489501953125,0.9552035550458715,106.616
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,blurred_vessel_sink_sigma10mm,"Bystander, blurred vessel sink (10 mm sigma)",0.6993857026100159,0.531171977519989,0.9851280450820923,0.8836991786956787,105.87179565429688,59.50212860107422,117.40950012207031,2757.19873046875,1565.618408203125,0.9552035550458715,106.616
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,peri_gtv_shell_sink_5_20mm,"Bystander, peri-GTV shell sink (5-20 mm)",0.6995071768760681,0.5318626761436462,0.9851301908493042,0.8987849950790405,105.90299224853516,65.54627990722656,116.68685913085938,2757.83935546875,1697.59423828125,0.9552035550458715,106.616
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,distance_decay_sink_lambda15mm,"Bystander, distance-decay sink (lambda 15 mm)",0.6995055675506592,0.5310385823249817,0.9849464893341064,0.8763607144355774,104.64485168457031,57.51021957397461,111.82406616210938,2743.929443359375,1549.6488037109375,0.9552035550458715,106.616
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",0.6468485593795776,0.47883132100105286,0.976460337638855,0.8458497524261475,95.92474365234375,49.181766510009766,129.79849243164062,2785.74560546875,1267.71337890625,0.9351188622443684,72.06400000000001
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",0.6476041674613953,0.4794013202190399,0.9937281608581543,0.8746684789657593,131.5916748046875,58.91787338256836,136.5585479736328,3541.630615234375,1460.4512939453125,0.9351188622443684,72.06400000000001
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",0.647594690322876,0.47963768243789673,0.9937383532524109,0.8788334727287292,131.71145629882812,60.07013702392578,139.48683166503906,3542.79296875,1481.6571044921875,0.9351188622443684,72.06400000000001
